# Kawahara, Maekawa & Ikeda (2009), 10th Int. Conf. on Stability of Ships and Ocean Vehicles
# (STAB 2009), Figure 1: (a) OG/d = -0.2, (b) OG/d = -1.5.
# Hull: L/B 6.0, B/d 4.0, C_B 0.65, C_M 0.98, phi_a 10 deg, b_BK/B 0.025, l_BK/L_pp 0.2.
# The SYMBOLS only: the original Ikeda method (total, eddy, bilge keel) and potential
# theory (wave) -- what the simplified formulas were fitted to. The figure's lines are
# the PREVIOUS (2008) simplified formula, which the paper replaces; not extracted.
# Extracted from the PDF's vector paths: marker centres from the path geometry, axes
# calibrated on the first and last tick marks (x 0.2..1.0; y 0..0.02 in (a), 0..0.07 in (b)).
# No reading by eye. Friction is not in the total (total = eddy + wave + bilge keel to
# the extraction's resolution).
panel,OG_d,component,w_hat,B44_hat
a,-0.2,total,0.2587,0.002878
a,-0.2,total,0.2678,0.002979
a,-0.2,total,0.2774,0.003080
a,-0.2,total,0.2877,0.003193
a,-0.2,total,0.2987,0.003316
a,-0.2,total,0.3106,0.003451
a,-0.2,total,0.3234,0.003777
a,-0.2,total,0.3377,0.003980
a,-0.2,total,0.3529,0.004205
a,-0.2,total,0.3698,0.004463
a,-0.2,total,0.3883,0.004767
a,-0.2,total,0.4088,0.005104
a,-0.2,total,0.4315,0.005497
a,-0.2,total,0.4568,0.006015
a,-0.2,total,0.4855,0.006667
a,-0.2,total,0.5178,0.007431
a,-0.2,total,0.5547,0.008353
a,-0.2,total,0.5975,0.009432
a,-0.2,total,0.7063,0.012580
a,-0.2,total,0.7767,0.014435
a,-0.2,total,0.8632,0.016425
a,-0.2,total,0.9710,0.018347
a,-0.2,eddy,0.2587,0.000393
a,-0.2,eddy,0.2678,0.000410
a,-0.2,eddy,0.2774,0.000427
a,-0.2,eddy,0.2877,0.000450
a,-0.2,eddy,0.2987,0.000461
a,-0.2,eddy,0.3106,0.000483
a,-0.2,eddy,0.3234,0.000506
a,-0.2,eddy,0.3377,0.000528
a,-0.2,eddy,0.3529,0.000545
a,-0.2,eddy,0.3698,0.000573
a,-0.2,eddy,0.3883,0.000607
a,-0.2,eddy,0.4088,0.000629
a,-0.2,eddy,0.4315,0.000663
a,-0.2,eddy,0.4568,0.000708
a,-0.2,eddy,0.4855,0.000753
a,-0.2,eddy,0.5178,0.000798
a,-0.2,eddy,0.5547,0.000854
a,-0.2,eddy,0.5975,0.000922
a,-0.2,eddy,0.6474,0.001000
a,-0.2,eddy,0.7063,0.001090
a,-0.2,eddy,0.7767,0.001197
a,-0.2,eddy,0.8632,0.001332
a,-0.2,eddy,0.9710,0.001506
a,-0.2,wave,0.2588,-0.000006
a,-0.2,wave,0.2678,-0.000006
a,-0.2,wave,0.2774,-0.000006
